image,camera_id,label
bounding_box_train/1046_c1_10167.png,1,1046
bounding_box_train/0987_c1_9582.png,1,987
bounding_box_train/1414_c1_13631.png,1,1414
bounding_box_train/1290_c1_12564.png,1,1290
bounding_box_train/0617_c2_6008.png,2,617
bounding_box_train/1437_c1_13829.png,1,1437
bounding_box_train/1460_c1_14032.png,1,1460
bounding_box_train/0484_c1_4713.png,1,484
bounding_box_train/0728_c1_7083.png,1,728
bounding_box_train/1053_c1_10238.png,1,1053
bounding_box_train/0299_c1_2893.png,1,299
bounding_box_train/1454_c2_13980.png,2,1454
bounding_box_train/0245_c1_2372.png,1,245
bounding_box_train/0117_c1_1122.png,1,117
bounding_box_train/0990_c1_9614.png,1,990
bounding_box_train/0613_c2_5967.png,2,613
bounding_box_train/0009_c1_81.png,1,9
bounding_box_train/0275_c2_2671.png,2,275
bounding_box_train/0411_c1_3994.png,1,411
bounding_box_train/0470_c2_4582.png,2,470
bounding_box_train/1218_c2_11868.png,2,1218
bounding_box_train/0063_c2_602.png,2,63
bounding_box_train/0608_c1_5911.png,1,608
bounding_box_train/0906_c2_8795.png,2,906
bounding_box_train/1119_c1_10886.png,1,1119
bounding_box_train/1338_c1_12976.png,1,1338
bounding_box_train/0476_c2_4641.png,2,476
bounding_box_train/1175_c2_11442.png,2,1175
bounding_box_train/0355_c1_3449.png,1,355
bounding_box_train/0642_c1_6247.png,1,642
bounding_box_train/0502_c1_4893.png,1,502
bounding_box_train/1079_c1_10491.png,1,1079
bounding_box_train/0313_c1_3033.png,1,313
bounding_box_train/0169_c2_1630.png,2,169
bounding_box_train/0188_c2_1816.png,2,188
bounding_box_train/0272_c2_2641.png,2,272
bounding_box_train/1136_c1_11053.png,1,1136
bounding_box_train/0997_c2_9688.png,2,997
bounding_box_train/1246_c1_12138.png,1,1246
bounding_box_train/0314_c2_3050.png,2,314
bounding_box_train/0407_c2_3961.png,2,407
bounding_box_train/1031_c2_10023.png,2,1031
bounding_box_train/0154_c2_1485.png,2,154
bounding_box_train/0680_c1_6616.png,1,680
bounding_box_train/0671_c2_6535.png,2,671
bounding_box_train/1050_c2_10210.png,2,1050
bounding_box_train/1211_c2_11797.png,2,1211
bounding_box_train/1157_c1_11260.png,1,1157
bounding_box_train/1453_c1_13963.png,1,1453
bounding_box_train/0153_c2_1476.png,2,153
bounding_box_train/0874_c1_8474.png,1,874
bounding_box_train/0774_c1_7539.png,1,774
bounding_box_train/0059_c2_563.png,2,59
bounding_box_train/0747_c2_7277.png,2,747
bounding_box_train/1245_c1_12130.png,1,1245
bounding_box_train/0377_c1_3665.png,1,377
bounding_box_train/1192_c1_11606.png,1,1192
bounding_box_train/0403_c2_3922.png,2,403
bounding_box_train/1413_c1_13625.png,1,1413
bounding_box_train/0984_c2_9561.png,2,984
bounding_box_train/0850_c2_8245.png,2,850
bounding_box_train/0434_c1_4217.png,1,434
bounding_box_train/0246_c2_2385.png,2,246
bounding_box_train/1302_c2_12667.png,2,1302
bounding_box_train/1414_c2_13639.png,2,1414
bounding_box_train/0026_c2_240.png,2,26
bounding_box_train/0604_c1_5877.png,1,604
bounding_box_train/1066_c2_10372.png,2,1066
bounding_box_train/0920_c2_8934.png,2,920
bounding_box_train/1437_c2_13835.png,2,1437
bounding_box_train/0679_c2_6612.png,2,679
bounding_box_train/0204_c1_1966.png,1,204
bounding_box_train/0391_c2_3808.png,2,391
bounding_box_train/1433_c2_13801.png,2,1433
bounding_box_train/0779_c1_7586.png,1,779
bounding_box_train/0821_c1_7981.png,1,821
bounding_box_train/0307_c1_2976.png,1,307
bounding_box_train/0707_c1_6873.png,1,707
bounding_box_train/0774_c2_7542.png,2,774
bounding_box_train/0203_c1_1956.png,1,203
bounding_box_train/1299_c1_12641.png,1,1299
bounding_box_train/1071_c1_10412.png,1,1071
bounding_box_train/1165_c1_11336.png,1,1165
bounding_box_train/0713_c2_6938.png,2,713
bounding_box_train/0700_c2_6810.png,2,700
bounding_box_train/1130_c1_10996.png,1,1130
bounding_box_train/0959_c1_9307.png,1,959
bounding_box_train/1160_c2_11292.png,2,1160
bounding_box_train/1079_c2_10499.png,2,1079
bounding_box_train/0514_c2_5013.png,2,514
bounding_box_train/0290_c2_2814.png,2,290
bounding_box_train/0628_c2_6115.png,2,628
bounding_box_train/0572_c1_5569.png,1,572
bounding_box_train/0037_c1_342.png,1,37
bounding_box_train/0094_c1_894.png,1,94
bounding_box_train/1058_c2_10293.png,2,1058
bounding_box_train/0161_c1_1550.png,1,161
bounding_box_train/0889_c2_8625.png,2,889
bounding_box_train/0297_c1_2877.png,1,297
bounding_box_train/1338_c2_12981.png,2,1338
bounding_box_train/0472_c2_4602.png,2,472
bounding_box_train/0312_c2_3032.png,2,312
bounding_box_train/0108_c1_1030.png,1,108
bounding_box_train/0189_c1_1817.png,1,189
bounding_box_train/0090_c2_862.png,2,90
bounding_box_train/0155_c1_1490.png,1,155
bounding_box_train/0289_c2_2804.png,2,289
bounding_box_train/0354_c2_3448.png,2,354
bounding_box_train/0334_c2_3249.png,2,334
bounding_box_train/1410_c1_13598.png,1,1410
bounding_box_train/1261_c1_12286.png,1,1261
bounding_box_train/0348_c1_3383.png,1,348
bounding_box_train/1297_c2_12626.png,2,1297
bounding_box_train/0243_c2_2357.png,2,243
bounding_box_train/1039_c2_10103.png,2,1039
bounding_box_train/0029_c1_269.png,1,29
bounding_box_train/0962_c2_9342.png,2,962
bounding_box_train/0342_c1_3324.png,1,342
bounding_box_train/0981_c1_9523.png,1,981
bounding_box_train/1198_c2_11669.png,2,1198
bounding_box_train/0890_c2_8635.png,2,890
bounding_box_train/0043_c2_409.png,2,43
bounding_box_train/0061_c1_576.png,1,61
bounding_box_train/0900_c2_8734.png,2,900
bounding_box_train/1073_c1_10435.png,1,1073
bounding_box_train/0406_c1_3948.png,1,406
bounding_box_train/0075_c2_713.png,2,75
bounding_box_train/0852_c2_8264.png,2,852
bounding_box_train/1455_c2_13987.png,2,1455
bounding_box_train/0368_c1_3575.png,1,368
bounding_box_train/0286_c1_2771.png,1,286
bounding_box_train/0456_c1_4437.png,1,456
bounding_box_train/0168_c1_1619.png,1,168
bounding_box_train/1191_c1_11593.png,1,1191
bounding_box_train/0729_c2_7096.png,2,729
bounding_box_train/0637_c2_6205.png,2,637
bounding_box_train/0711_c2_6919.png,2,711
bounding_box_train/1378_c1_13328.png,1,1378
bounding_box_train/0702_c2_6831.png,2,702
bounding_box_train/0181_c2_1746.png,2,181
bounding_box_train/0137_c1_1313.png,1,137
bounding_box_train/0073_c2_693.png,2,73
bounding_box_train/0252_c1_2437.png,1,252
bounding_box_train/1038_c1_10087.png,1,1038
bounding_box_train/1105_c1_10750.png,1,1105
bounding_box_train/0324_c1_3143.png,1,324
bounding_box_train/0615_c1_5981.png,1,615
bounding_box_train/0305_c1_2957.png,1,305
bounding_box_train/0803_c1_7818.png,1,803
bounding_box_train/0776_c2_7563.png,2,776
bounding_box_train/0531_c2_5179.png,2,531
bounding_box_train/0962_c1_9339.png,1,962
bounding_box_train/0857_c2_8315.png,2,857
bounding_box_train/1456_c1_13993.png,1,1456
bounding_box_train/0462_c1_4497.png,1,462
bounding_box_train/1394_c2_13468.png,2,1394
bounding_box_train/1327_c2_12887.png,2,1327
bounding_box_train/0845_c1_8189.png,1,845
bounding_box_train/0295_c1_2856.png,1,295
bounding_box_train/0589_c1_5735.png,1,589
bounding_box_train/0914_c1_8870.png,1,914
bounding_box_train/0546_c1_5324.png,1,546
bounding_box_train/0298_c2_2892.png,2,298
bounding_box_train/0197_c2_1904.png,2,197
bounding_box_train/0064_c1_605.png,1,64
bounding_box_train/0083_c2_792.png,2,83
bounding_box_train/0024_c2_222.png,2,24
bounding_box_train/0606_c1_5895.png,1,606
bounding_box_train/0516_c2_5032.png,2,516
bounding_box_train/1070_c2_10409.png,2,1070
bounding_box_train/1403_c2_13541.png,2,1403
bounding_box_train/0206_c1_1990.png,1,206
bounding_box_train/1082_c2_10526.png,2,1082
bounding_box_train/1210_c2_11790.png,2,1210
bounding_box_train/0799_c2_7790.png,2,799
bounding_box_train/0830_c2_8068.png,2,830
bounding_box_train/0605_c2_5889.png,2,605
bounding_box_train/0079_c2_754.png,2,79
bounding_box_train/0486_c1_4732.png,1,486
bounding_box_train/1219_c1_11873.png,1,1219
bounding_box_train/0847_c1_8209.png,1,847
bounding_box_train/1332_c2_12925.png,2,1332
bounding_box_train/1106_c1_10758.png,1,1106
bounding_box_train/0065_c2_621.png,2,65
bounding_box_train/0053_c2_507.png,2,53
bounding_box_train/0013_c1_120.png,1,13
bounding_box_train/0327_c2_3177.png,2,327
bounding_box_train/0500_c1_4871.png,1,500
bounding_box_train/0443_c2_4314.png,2,443
bounding_box_train/0876_c1_8496.png,1,876
bounding_box_train/0185_c1_1781.png,1,185
bounding_box_train/0539_c2_5262.png,2,539
bounding_box_train/0093_c2_887.png,2,93
bounding_box_train/0961_c2_9331.png,2,961
bounding_box_train/0428_c1_4160.png,1,428
bounding_box_train/1292_c1_12580.png,1,1292
bounding_box_train/0992_c1_9635.png,1,992
bounding_box_train/0910_c1_8827.png,1,910
bounding_box_train/0210_c1_2026.png,1,210
bounding_box_train/0611_c2_5946.png,2,611
bounding_box_train/0444_c2_4324.png,2,444
bounding_box_train/0191_c1_1841.png,1,191
bounding_box_train/0405_c2_3940.png,2,405
bounding_box_train/0002_c2_17.png,2,2
bounding_box_train/0371_c1_3607.png,1,371
bounding_box_train/1164_c1_11325.png,1,1164
bounding_box_train/0095_c2_907.png,2,95
bounding_box_train/0139_c1_1334.png,1,139
bounding_box_train/1366_c1_13215.png,1,1366
bounding_box_train/0741_c2_7215.png,2,741
bounding_box_train/0639_c2_6222.png,2,639
bounding_box_train/0688_c1_6690.png,1,688
bounding_box_train/1363_c1_13187.png,1,1363
bounding_box_train/1304_c1_12683.png,1,1304
bounding_box_train/1177_c2_11459.png,2,1177
bounding_box_train/1143_c2_11124.png,2,1143
bounding_box_train/0277_c2_2687.png,2,277
bounding_box_train/1323_c1_12850.png,1,1323
bounding_box_train/1156_c2_11253.png,2,1156
bounding_box_train/0199_c2_1923.png,2,199
bounding_box_train/1339_c2_12992.png,2,1339
bounding_box_train/0282_c1_2732.png,1,282
bounding_box_train/0618_c1_6012.png,1,618
bounding_box_train/0199_c2_1922.png,2,199
bounding_box_train/1156_c2_11252.png,2,1156
bounding_box_train/1323_c1_12851.png,1,1323
bounding_box_train/0618_c1_6013.png,1,618
bounding_box_train/0449_c2_4371.png,2,449
bounding_box_train/0282_c1_2733.png,1,282
bounding_box_train/1339_c2_12993.png,2,1339
bounding_box_train/0814_c2_7921.png,2,814
bounding_box_train/1304_c1_12682.png,1,1304
bounding_box_train/1177_c2_11458.png,2,1177
bounding_box_train/1363_c1_13186.png,1,1363
bounding_box_train/0936_c2_9092.png,2,936
bounding_box_train/0277_c2_2686.png,2,277
bounding_box_train/1143_c2_11125.png,2,1143
bounding_box_train/0139_c1_1335.png,1,139
bounding_box_train/0311_c1_3013.png,1,311
bounding_box_train/1164_c1_11324.png,1,1164
bounding_box_train/0639_c2_6223.png,2,639
bounding_box_train/1324_c2_12859.png,2,1324
bounding_box_train/1366_c1_13214.png,1,1366
bounding_box_train/0405_c2_3941.png,2,405
bounding_box_train/1018_c1_9892.png,1,1018
bounding_box_train/0191_c1_1840.png,1,191
bounding_box_train/0444_c2_4325.png,2,444
bounding_box_train/0371_c1_3606.png,1,371
bounding_box_train/0002_c2_16.png,2,2
bounding_box_train/0240_c2_2325.png,2,240
bounding_box_train/0428_c1_4161.png,1,428
bounding_box_train/0611_c2_5947.png,2,611
bounding_box_train/0210_c1_2027.png,1,210
bounding_box_train/0992_c1_9634.png,1,992
bounding_box_train/0539_c2_5263.png,2,539
bounding_box_train/0185_c1_1780.png,1,185
bounding_box_train/0876_c1_8497.png,1,876
bounding_box_train/0443_c2_4315.png,2,443
bounding_box_train/0065_c2_620.png,2,65
bounding_box_train/1106_c1_10759.png,1,1106
bounding_box_train/0039_c1_366.png,1,39
bounding_box_train/1219_c1_11872.png,1,1219
bounding_box_train/0847_c1_8208.png,1,847
bounding_box_train/0500_c1_4870.png,1,500
bounding_box_train/0013_c1_121.png,1,13
bounding_box_train/0053_c2_506.png,2,53
bounding_box_train/0605_c2_5888.png,2,605
bounding_box_train/0486_c1_4733.png,1,486
bounding_box_train/0927_c2_9004.png,2,927
bounding_box_train/0079_c2_755.png,2,79
bounding_box_train/1439_c1_13847.png,1,1439
bounding_box_train/1403_c2_13540.png,2,1403
bounding_box_train/0516_c2_5033.png,2,516
bounding_box_train/0606_c1_5894.png,1,606
bounding_box_train/1163_c1_11318.png,1,1163
bounding_box_train/0309_c2_3002.png,2,309
bounding_box_train/1082_c2_10527.png,2,1082
bounding_box_train/0914_c1_8871.png,1,914
bounding_box_train/0589_c1_5734.png,1,589
bounding_box_train/0295_c1_2857.png,1,295
bounding_box_train/0024_c2_223.png,2,24
bounding_box_train/0083_c2_793.png,2,83
bounding_box_train/0197_c2_1905.png,2,197
bounding_box_train/0064_c1_604.png,1,64
bounding_box_train/0417_c1_4054.png,1,417
bounding_box_train/0776_c2_7562.png,2,776
bounding_box_train/0803_c1_7819.png,1,803
bounding_box_train/1020_c2_9913.png,2,1020
bounding_box_train/0305_c1_2956.png,1,305
bounding_box_train/0324_c1_3142.png,1,324
bounding_box_train/0615_c1_5980.png,1,615
bounding_box_train/0845_c1_8188.png,1,845
bounding_box_train/1327_c2_12886.png,2,1327
bounding_box_train/1394_c2_13469.png,2,1394
bounding_box_train/0462_c1_4496.png,1,462
bounding_box_train/0308_c2_2992.png,2,308
bounding_box_train/1456_c1_13992.png,1,1456
bounding_box_train/1366_c2_13220.png,2,1366
bounding_box_train/0864_c2_8384.png,2,864
bounding_box_train/0857_c2_8314.png,2,857
bounding_box_train/0962_c1_9338.png,1,962
bounding_box_train/0702_c2_6830.png,2,702
bounding_box_train/0711_c2_6918.png,2,711
bounding_box_train/0637_c2_6204.png,2,637
bounding_box_train/0729_c2_7097.png,2,729
bounding_box_train/1105_c1_10751.png,1,1105
bounding_box_train/1038_c1_10086.png,1,1038
bounding_box_train/0510_c2_4978.png,2,510
bounding_box_train/0436_c1_4237.png,1,436
bounding_box_train/1191_c1_11592.png,1,1191
bounding_box_train/0168_c1_1618.png,1,168
bounding_box_train/0456_c1_4436.png,1,456
bounding_box_train/0286_c1_2770.png,1,286
bounding_box_train/0368_c1_3574.png,1,368
bounding_box_train/1455_c2_13986.png,2,1455
bounding_box_train/0852_c2_8265.png,2,852
bounding_box_train/0061_c1_577.png,1,61
bounding_box_train/0393_c2_3828.png,2,393
bounding_box_train/1073_c1_10434.png,1,1073
bounding_box_train/0132_c1_1263.png,1,132
bounding_box_train/0900_c2_8735.png,2,900
bounding_box_train/0342_c1_3325.png,1,342
bounding_box_train/0962_c2_9343.png,2,962
bounding_box_train/0029_c1_268.png,1,29
bounding_box_train/1039_c2_10102.png,2,1039
bounding_box_train/0243_c2_2356.png,2,243
bounding_box_train/0043_c2_408.png,2,43
bounding_box_train/1198_c2_11668.png,2,1198
bounding_box_train/0016_c2_150.png,2,16
bounding_box_train/0108_c1_1031.png,1,108
bounding_box_train/0348_c1_3382.png,1,348
bounding_box_train/1297_c2_12627.png,2,1297
bounding_box_train/1261_c1_12287.png,1,1261
bounding_box_train/1410_c1_13599.png,1,1410
bounding_box_train/0334_c2_3248.png,2,334
bounding_box_train/0828_c1_8044.png,1,828
bounding_box_train/0155_c1_1491.png,1,155
bounding_box_train/0090_c2_863.png,2,90
bounding_box_train/0161_c1_1551.png,1,161
bounding_box_train/1058_c2_10292.png,2,1058
bounding_box_train/0472_c2_4603.png,2,472
bounding_box_train/0297_c1_2876.png,1,297
bounding_box_train/0927_c1_8995.png,1,927
bounding_box_train/1454_c1_13976.png,1,1454
bounding_box_train/0994_c1_9656.png,1,994
bounding_box_train/1079_c2_10498.png,2,1079
bounding_box_train/1160_c2_11293.png,2,1160
bounding_box_train/0959_c1_9306.png,1,959
bounding_box_train/0094_c1_895.png,1,94
bounding_box_train/0037_c1_343.png,1,37
bounding_box_train/0628_c2_6114.png,2,628
bounding_box_train/0514_c2_5012.png,2,514
bounding_box_train/1165_c1_11337.png,1,1165
bounding_box_train/1299_c1_12640.png,1,1299
bounding_box_train/1071_c1_10413.png,1,1071
bounding_box_train/0203_c1_1957.png,1,203
bounding_box_train/0183_c2_1766.png,2,183
bounding_box_train/1130_c1_10997.png,1,1130
bounding_box_train/0700_c2_6811.png,2,700
bounding_box_train/0713_c2_6939.png,2,713
bounding_box_train/0779_c1_7587.png,1,779
bounding_box_train/0549_c1_5350.png,1,549
bounding_box_train/1433_c2_13800.png,2,1433
bounding_box_train/0774_c2_7543.png,2,774
bounding_box_train/0707_c1_6872.png,1,707
bounding_box_train/0307_c1_2977.png,1,307
bounding_box_train/0821_c1_7980.png,1,821
bounding_box_train/0204_c1_1967.png,1,204
bounding_box_train/1437_c2_13834.png,2,1437
bounding_box_train/0920_c2_8935.png,2,920
bounding_box_train/0937_c1_9093.png,1,937
bounding_box_train/0850_c2_8244.png,2,850
bounding_box_train/1066_c2_10373.png,2,1066
